,SampleDate,N Gene gc/g dry weight,N Gene gc/g dry weight UCI,N Gene gc/g dry weight LCI,PMMoV gc/g dry weight,PMMoV gc/g dry weight UCI,PMMoV gc/g dry weight LCI,BCoV Recovery,BCoV Recovery UCI,BCoV Recovery LCI,N_norm_PMMoV,City
222,2022-11-20,327089.388322543,396136.84025038,247870.484734232,3291653242.81383,3574108034.36526,2994610610.28622,1.043,1.257,0.808,9.936933333929627e-05,Modesto
223,2022-11-21,,,,,,,,,,,Modesto
224,2022-11-22,174819.916530511,215605.848131117,135943.522591959,1993627327.29931,2271059256.00994,1722635459.34524,1.196,1.351,1.053,8.76893660799347e-05,Modesto
225,2022-11-23,238844.779297267,259104.968906481,218587.872862159,2186170961.42336,2211100940.89238,2163724314.23668,1.774,2.018,1.537,0.00010925256236216827,Modesto
226,2022-11-24,,,,,,,,,,,Modesto
227,2022-11-25,,,,,,,,,,,Modesto
228,2022-11-26,,,,,,,,,,,Modesto
229,2022-11-27,291073.827896761,323737.278258199,257448.059805281,1660071535.89318,1747277223.5796,1571042404.7477,0.821,0.938,0.703,0.00017533812345029608,Modesto
230,2022-11-28,,,,,,,,,,,Modesto
231,2022-11-29,165327.459843887,187112.325599087,144595.595632709,1091153786.02638,1229502235.15844,973205381.81936,0.795,0.924,0.67,0.00015151618585859902,Modesto
232,2022-11-30,484379.626972393,522004.122182119,431263.928762209,3025626657.48925,3160234422.45662,2894675081.05426,1.885,2.109,1.678,0.00016009233187228223,Modesto
0,2022-04-13,13800.0,25600.0,0.0,3160000000.0,4040000000.0,2320000000.0,2.0374,2.26118,1.82698,4.367088607594936e-06,Merced
1,2022-04-14,,,,,,,,,,,Merced
2,2022-04-15,,,,,,,,,,,Merced
3,2022-04-16,,,,,,,,,,,Merced
4,2022-04-17,,,,,,,,,,,Merced
5,2022-04-18,,,,,,,,,,,Merced
6,2022-04-19,,,,,,,,,,,Merced
7,2022-04-20,0.0,0.0,0.0,868000000.0,1050000000.0,680000000.0,0.9853,1.30594,0.71476,0.0,Merced
8,2022-04-21,,,,,,,,,,,Merced
9,2022-04-22,,,,,,,,,,,Merced
10,2022-04-23,30400.0,42600.0,21000.0,1170000000.0,1240000000.0,1120000000.0,1.62658,1.93386,1.32598,2.5982905982905982e-05,Merced
11,2022-04-24,,,,,,,,,,,Merced
12,2022-04-25,17100.0,25200.0,11000.0,1040000000.0,1420000000.0,664000000.0,2.2712,3.12624,1.37942,1.644230769230769e-05,Merced
13,2022-04-26,43200.0,63800.0,20400.0,1900000000.0,2740000000.0,1120000000.0,2.98262,3.85436,2.0708,2.2736842105263157e-05,Merced
14,2022-04-27,12200.0,21600.0,3460.0,910000000.0,1060000000.0,762000000.0,0.8517,1.002,0.7181,1.3406593406593406e-05,Merced
15,2022-04-28,,,,,,,,,,,Merced
16,2022-04-29,4460.0,6490.0,2755.0,128100000.0,144600000.0,110000000.0,1.55477,1.8236400000000001,1.30928,3.481654957064793e-05,Merced
17,2022-04-30,,,,,,,,,,,Merced
18,2022-05-01,,,,,,,,,,,Merced
19,2022-05-02,22200.0,32600.0,14200.0,1240000000.0,1660000000.0,868000000.0,1.70006,1.99398,1.4362,1.7903225806451612e-05,Merced
20,2022-05-03,16600.0,25200.0,7720.0,998000000.0,1140000000.0,842000000.0,1.62324,1.85704,1.38276,1.6633266533066134e-05,Merced
21,2022-05-04,43200.0,68600.0,27000.0,802000000.0,982000000.0,630000000.0,0.95858,1.2191,0.69806,5.3865336658354115e-05,Merced
22,2022-05-05,13400.0,21400.0,5680.0,498000000.0,600000000.0,382000000.0,1.24248,1.82364,0.66466,2.6907630522088352e-05,Merced
23,2022-05-06,8060.0,13400.0,2360.0,1060000000.0,1280000000.0,848000000.0,2.11422,2.64194,1.59986,7.60377358490566e-06,Merced
24,2022-05-07,15000.0,23000.0,9220.0,986000000.0,1020000000.0,950000000.0,1.68336,2.27454,1.07214,1.5212981744421907e-05,Merced
25,2022-05-08,,,,,,,,,,,Merced
26,2022-05-09,43600.0,56400.0,33000.0,1010000000.0,1200000000.0,858000000.0,1.28924,1.53974,1.0688,4.316831683168317e-05,Merced
27,2022-05-10,28400.0,40600.0,18900.0,1560000000.0,2260000000.0,968000000.0,2.23446,3.25316,1.2692,1.8205128205128204e-05,Merced
28,2022-05-11,91600.0,124000.0,61800.0,810000000.0,930000000.0,698000000.0,0.47762,0.59786,0.36072,0.00011308641975308642,Merced
29,2022-05-12,63600.0,89000.0,28200.0,1350000000.0,1830000000.0,900000000.0,1.11222,1.56646,0.62458,4.711111111111111e-05,Merced
30,2022-05-13,,,,,,,,,,,Merced
31,2022-05-14,50600.0,65400.0,35200.0,1320000000.0,1460000000.0,1190000000.0,1.17568,1.37274,0.95858,3.8333333333333334e-05,Merced
32,2022-05-15,,,,,,,,,,,Merced
33,2022-05-16,107000.0,188000.0,61600.0,1270000000.0,1490000000.0,1060000000.0,1.0354,1.2191,0.87174,8.4251968503937e-05,Merced
34,2022-05-17,34200.0,47000.0,19000.0,836000000.0,966000000.0,702000000.0,1.11222,1.3026,0.94188,4.090909090909091e-05,Merced
35,2022-05-18,57600.0,93200.0,31400.0,1040000000.0,1100000000.0,992000000.0,0.68804,0.86506,0.5177,5.538461538461539e-05,Merced
36,2022-05-19,134000.0,172000.0,87400.0,2440000000.0,2660000000.0,2240000000.0,0.52772,0.6513,0.39412,5.4918032786885245e-05,Merced
37,2022-05-20,,,,,,,,,,,Merced
38,2022-05-21,128000.0,168000.0,91400.0,4700000000.0,6180000000.0,3620000000.0,2.75216,3.36004,2.2044,2.723404255319149e-05,Merced
39,2022-05-22,,,,,,,,,,,Merced
40,2022-05-23,33000.0,44800.0,23600.0,872000000.0,988000000.0,760000000.0,1.10888,1.30928,0.92852,3.7844036697247704e-05,Merced
41,2022-05-24,57400.0,71800.0,45400.0,2500000000.0,3660000000.0,1560000000.0,2.18102,2.97594,1.38276,2.296e-05,Merced
42,2022-05-25,62000.0,74600.0,48600.0,778000000.0,914000000.0,630000000.0,1.24248,1.67334,0.77488,7.969151670951157e-05,Merced
43,2022-05-26,125000.0,190000.0,67200.0,1160000000.0,1490000000.0,864000000.0,2.13092,3.0561,1.18904,0.00010775862068965517,Merced
44,2022-05-27,,,,,,,,,,,Merced
45,2022-05-28,98200.0,119000.0,78600.0,1830000000.0,2540000000.0,1250000000.0,1.32932,1.68336,0.88176,5.366120218579235e-05,Merced
46,2022-05-29,,,,,,,,,,,Merced
47,2022-05-30,434000.0,602000.0,260000.0,3020000000.0,4400000000.0,2060000000.0,2.7555,3.7575,1.66332,0.00014370860927152317,Merced
48,2022-05-31,362000.0,446000.0,282000.0,3400000000.0,4060000000.0,2820000000.0,1.69672,2.00734,1.38276,0.00010647058823529412,Merced
49,2022-06-01,326000.0,382000.0,262000.0,7700000000.0,11300000000.0,5940000000.0,3.2064,4.35536,2.21108,4.2337662337662334e-05,Merced
50,2022-06-02,147000.0,174000.0,129000.0,3480000000.0,5160000000.0,2720000000.0,3.6406,4.74614,2.7889,4.224137931034483e-05,Merced
51,2022-06-03,,,,,,,,,,,Merced
52,2022-06-04,216000.0,278000.0,160000.0,822000000.0,1160000000.0,518000000.0,0.76486,1.02204,0.51102,0.0002627737226277372,Merced
53,2022-06-05,,,,,,,,,,,Merced
54,2022-06-06,344000.0,390000.0,296000.0,3140000000.0,3820000000.0,2620000000.0,2.56846,3.2231,1.97394,0.00010955414012738854,Merced
55,2022-06-07,330000.0,366000.0,292000.0,2340000000.0,2700000000.0,1970000000.0,1.33934,1.62992,1.0187,0.00014102564102564101,Merced
56,2022-06-08,376000.0,416000.0,324000.0,3700000000.0,4920000000.0,2580000000.0,1.68336,2.03406,1.3694,0.00010162162162162162,Merced
57,2022-06-09,151000.0,165000.0,137000.0,3300000000.0,9900000000.0,1470000000.0,0.68136,0.83166,0.55444,4.575757575757576e-05,Merced
58,2022-06-10,,,,,,,,,,,Merced
59,2022-06-11,484000.0,734000.0,320000.0,3180000000.0,3640000000.0,2800000000.0,1.5698,1.81696,1.31596,0.00015220125786163523,Merced
60,2022-06-12,,,,,,,,,,,Merced
61,2022-06-13,184000.0,199000.0,169000.0,1970000000.0,2060000000.0,1890000000.0,1.75684,1.99064,1.57648,9.34010152284264e-05,Merced
62,2022-06-14,502000.0,668000.0,320000.0,2580000000.0,2900000000.0,2240000000.0,1.87374,2.171,1.60654,0.00019457364341085272,Merced
63,2022-06-15,250000.0,270000.0,232000.0,1960000000.0,2200000000.0,1800000000.0,1.07882,1.2525,0.92184,0.00012755102040816328,Merced
64,2022-06-16,548000.0,726000.0,326000.0,2680000000.0,3080000000.0,2380000000.0,1.5865,1.837,1.40614,0.0002044776119402985,Merced
65,2022-06-17,,,,,,,,,,,Merced
66,2022-06-18,691251.941070638,791347.045064059,598645.840612515,4081100389.16287,4652173478.07794,3437150275.1542,1.06212,1.22578,0.87842,0.00016937881334804167,Merced
