"","date","SC2_N_norm_PMMoV","SC2_N_gc_g_dry_weight","N","county","Cases_N","mean","sd","0.025quant","0.5quant","0.975quant","mode"
"916",2023-05-27,NA,NA,NA,"Yolo",69.5609144071238,7.48166361123553e-05,1.4446600996131,3.63419393413409e-05,7.48114747258493e-05,0.000154083370426379,7.47992625706595e-05
"917",2023-05-28,NA,NA,NA,"Yolo",71.8013373878757,7.72263357593098e-05,1.44481819708447,3.75433317176265e-05,7.71924904121363e-05,0.000159245140324523,7.71232176452654e-05
"918",2023-05-29,0.0001100353388326,44368.1819407708,44368.1819407708,"Yolo",74.1147182587167,7.97145056788425e-05,1.4240105034941,3.99058742810189e-05,7.96620780708082e-05,0.000159822250444376,7.9555484019244e-05
"919",2023-05-30,NA,NA,NA,"Yolo",74.055018296714,7.96502950460302e-05,1.43274204202974,3.94097288441455e-05,7.95867051986419e-05,0.000161701439241592,7.94581965699127e-05
"920",2023-05-31,0.0001096552008604,61562.6404960474,61562.6404960474,"Yolo",73.9967284032934,7.95876010204809e-05,1.41874581319318,4.01441896263457e-05,7.95285521807595e-05,0.000158442252838837,7.94086597100849e-05
"921",2023-06-01,NA,NA,NA,"Yolo",71.5921185505235,7.7001309251889e-05,1.43256504114192,3.80961648035845e-05,7.69485770829701e-05,0.000156236052539196,7.68416058898982e-05
"922",2023-06-02,8.52490739667344e-05,125501.553568928,125501.553568928,"Yolo",69.266346478625,7.44998119057632e-05,1.42371268741382,3.72893105083031e-05,7.4466030439911e-05,0.000149220553514718,7.43965863035909e-05
"923",2023-06-03,NA,NA,NA,"Yolo",66.1182154462717,7.11138217144457e-05,1.44471106871734,3.45590543902104e-05,7.10956133032456e-05,0.000146544303905721,7.10573423735607e-05
"924",2023-06-04,NA,NA,NA,"Yolo",63.1125638649998,6.78810761050304e-05,1.44465870336565,3.29624760110204e-05,6.78841074155736e-05,0.000139754577825372,6.78916556566747e-05
"925",2023-06-05,2.86943304585937e-05,20162.8557265635,20162.8557265635,"Yolo",60.2424298349064,6.47940871665814e-05,1.42355173255267,3.23716886890199e-05,6.481229384358e-05,0.000129484929134384,6.48501768763532e-05
"926",2023-06-06,NA,NA,NA,"Yolo",62.4829439108561,6.72038847914927e-05,1.4321412268375,3.32276382460622e-05,6.71871339682959e-05,0.00013611253498196,6.7152262515126e-05
"927",2023-06-07,0.0001412434694427,79315.2990259096,79315.2990259096,"Yolo",64.8052644425368,6.97016698139566e-05,1.41866304382577,3.51571540029622e-05,6.96531279934341e-05,0.00013872944797435,6.95549985561161e-05
"928",2023-06-08,NA,NA,NA,"Yolo",62.5604017412704,6.7287195000416e-05,1.43262023911998,3.3289958517878e-05,6.72393995254741e-05,0.0001365483412464,6.71435239744448e-05
"929",2023-06-09,0.0001831488832326,107607.129195549,107607.129195549,"Yolo",60.3918370682109,6.49547829639551e-05,1.42385880424188,3.25134778495847e-05,6.49194081959637e-05,0.000130163614113421,6.48480389599134e-05
"930",2023-06-10,NA,NA,NA,"Yolo",52.4531154647355,5.64162459066607e-05,1.44495834171439,2.7342373808048e-05,5.64498019207322e-05,0.000116019026733026,5.65189380707974e-05
"931",2023-06-11,NA,NA,NA,"Yolo",45.5547823215654,4.89967045600119e-05,1.4475681811136,2.35797836813703e-05,4.90876752036601e-05,0.00010076082393281,4.92710692448637e-05
"932",2023-06-12,6.60876559257378e-06,38803.2141555502,38803.2141555502,"Yolo",39.5599567184233,4.25489358736735e-05,1.43187849096159,2.08857816608547e-05,4.26570417656446e-05,8.54654441136097e-05,4.28773966038294e-05
"933",2023-06-13,NA,NA,NA,"Yolo",41.4859252487023,4.46204222525095e-05,1.43753263627736,2.17472740215057e-05,4.47217706673437e-05,9.03994189668e-05,4.49271530025858e-05
"934",2023-06-14,4.50850906787877e-05,21542.7426529509,21542.7426529509,"Yolo",43.5004322354007,4.67871366704294e-05,1.4211956221037,2.33749685059968e-05,4.68565941889704e-05,9.28777836800042e-05,4.69977668673822e-05
"935",2023-06-15,NA,NA,NA,"Yolo",45.735251276963,4.91908089687972e-05,1.43399503257797,2.41525716334696e-05,4.92570778379452e-05,9.94355818944518e-05,4.9391532414986e-05
"936",2023-06-16,6.15819123144308e-05,81083.1358187364,81083.1358187364,"Yolo",48.0802124523475,5.17129452640379e-05,1.42443205423058,2.57636229092215e-05,5.17576587951181e-05,0.000103299448145709,5.18491844154224e-05
"937",2023-06-17,NA,NA,NA,"Yolo",49.6196041230598,5.33686467085014e-05,1.44541815464827,2.58241066194765e-05,5.3419159102839e-05,0.000109711634000828,5.3522198914737e-05
